単位,0,1,2,3,4,5,6,7,8,9,10,100,1000,10以下の数字のみ適用
日,ニチ,ニチ,カ,カ,カ,カ,カ,カ,カ,カ,カ,ニチ,ニチ,True
本,ホン,ポン,ホン,ボン,ホン,ホン,ポン,ホン,ポン,ホン,ポン,ポン,ボン,False
人,ニン,リ,リ,ニン,ニン,ニン,ニン,ニン,ニン,ニン,ニン,ニン,ニン,True
人組,ニングミ,リグミ,リグミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,True
派,ハ,パ,ハ,パ,ハ,ハ,パ,ハ,ハ,ハ,パ,ハ,パ,False
本立て,ホンダテ,ポンダテ,ホンダテ,ボンダテ,ホンダテ,ホンダテ,ポンダテ,ホンダテ,ホンダテ,ホンダテ,ポンダテ,ポンダテ,ボンダテ,False
拍,ハク,パク,ハク,パク,ハク,ハク,ハク,ハク,ハク,ハク,パク,ハク,パク,False
報,ホウ,ポウ,ホウ,ポウ,ホウ,ホウ,ポウ,ホウ,ホウ,ホウ,ポウ,ポウ,ホウ,False
歩,ホ,ポ,ホ,ポ,ホ,ホ,ポ,ホ,ホ,ホ,ポ,ポ,ホ,False
篇,ヘン,ペン,ヘン,ペン,ペン,ヘン,ペン,ヘン,ヘン,ヘン,ペン,ペン,ペン,False
編,ヘン,ペン,ヘン,ペン,ペン,ヘン,ペン,ヘン,ヘン,ヘン,ペン,ペン,ペン,False
敗,ハイ,パイ,ハイ,パイ,ハイ,ハイ,パイ,ハイ,ハイ,ハイ,パイ,パイ,ハイ,False
品,ヒン,ピン,ヒン,ピン,ヒン,ヒン,ピン,ヒン,ヒン,ヒン,ピン,ピン,ピン,False
俵,ヒョウ,ピョウ,ヒョウ,ピョウ,ヒョウ,ヒョウ,ピョウ,ヒョウ,ヒョウ,ヒョウ,ピョウ,ピョウ,ヒョウ,False
分目,フンメ,プンメ,フンメ,プンメ,フンメ,フンメ,プンメ,フンメ,フンメ,フンメ,プンメ,プンメ,フンメ,False
辺,ヘン,ペン,ヘン,ペン,ヘン,ヘン,ペン,ヘン,ヘン,ヘン,ペン,ペン,ペン,False
分間,フンカン,プンカン,フンカン,プンカン,プンカン,フンカン,プンカン,フンカン,フンカン,フンカン,プンカン,プンカン,フンカン,False
分,フン,プン,フン,プン,フン,フン,プン,フン,フン,フン,プン,プン,フン,False
ホン,ホン,ポン,ホン,ボン,ホン,ホン,ポン,ホン,ホン,ホン,ポン,ポン,ホン,False
遍,ヘン,ペン,ヘン,ペン,ペン,ヘン,ペン,ヘン,ヘン,ヘン,ペン,ペン,ペン,False
発,ハツ,パツ,ハツ,パツ,ハツ,ハツ,パツ,ハツ,ハツ,ハツ,パツ,パツ,ハツ,False
袋,フクロ,フクロ,フクロ,プクロ,フクロ,フクロ,フクロ,フクロ,フクロ,フクロ,プクロ,プクロ,フクロ,False
泊,ハク,パク,ハク,パク,ハク,ハク,パク,ハク,ハク,ハク,パク,パク,ハク,False
片,ヘン,ペン,ヘン,ペン,ヘン,ヘン,ペン,ヘン,ペン,ヘン,ペン,ペン,ペン,False
本,ホン,ポン,ホン,ボン,ホン,ホン,ポン,ホン,ホン,ホン,ポン,ポン,ホン,False
犯,ハン,パン,ハン,パン,ハン,ハン,パン,ハン,パン,ハン,パン,パン,パン,False
へん,ヘン,ペン,ヘン,ペン,ヘン,ヘン,ペン,ヘン,ヘン,ヘン,ペン,ペン,ペン,False
方,ホウ,ポウ,ホウ,ポウ,ホウ,ホウ,ポウ,ホウ,ホウ,ホウ,ポウ,ポウ,ポウ,False
人組,ニングミ,リグミ,リグミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,ニングミ,False
班,ハン,パン,ハン,パン,ハン,ハン,パン,ハン,パン,ハン,パン,パン,パン,False
匹,ヒキ,ピキ,ヒキ,ビキ,ヒキ,ヒキ,ピキ,ヒキ,ピキ,ヒキ,ピキ,ピキ,ビキ,False
票,ヒョウ,ピョウ,ヒョウ,ピョウ,ヒョウ,ヒョウ,ヒョウ,ヒョウ,ヒョウ,ヒョウ,ピョウ,ヒョウ,ヒョウ,False
杯,ハイ,パイ,ハイ,バイ,ハイ,ハイ,パイ,ハイ,ハイ,ハイ,パイ,パイ,バイ,False
筆,ヒツ,ピツ,ヒツ,ヒツ,ヒツ,ヒツ,ピツ,ヒツ,ピツ,ヒツ,ピツ,ピツ,ヒツ,False
波,ハ,パ,ハ,バ,ハ,ハ,パ,ハ,ハ,ハ,パ,パ,バ,False
箱,ハコ,ハコ,ハコ,バコ,ハコ,ハコ,パコ,ハコ,ハコ,ハコ,パコ,パコ,バコ,False
版,ハン,パン,ハン,パン,ハン,ハン,パン,ハン,パン,ハン,パン,パン,バン,False
柱,ハシラ,ハシラ,ハシラ,バシラ,ハシラ,ハシラ,ハシラ,ハシラ,ハシラ,ハシラ,パシラ,ハシラ,バシラ,False